event_id,event_name,date,location,fight_id,division,title_fight,method,finish_round,match_time_sec,total_rounds
81ddc98fceb30086,UFC Fight Night: Dern vs. Ribas 2,2025/01/11,"Las Vegas, Nevada, USA",b33e3a6d15700bb1,women's flyweight,0,Decision - Split,3,300,3.0
81ddc98fceb30086,UFC Fight Night: Dern vs. Ribas 2,2025/01/11,"Las Vegas, Nevada, USA",f01851055b8309e0,women's strawweight,0,KO/TKO,2,267,3.0
80dbeb1dd5b53e64,UFC Fight Night: Adesanya vs. Imavov,2025/02/01,"Riyadh, Riyadh, Saudi Arabia",3c00f34f20c8a189,heavyweight,0,Decision - Unanimous,3,300,3.0
80dbeb1dd5b53e64,UFC Fight Night: Adesanya vs. Imavov,2025/02/01,"Riyadh, Riyadh, Saudi Arabia",85e79748b75eb30e,middleweight,0,KO/TKO,2,30,5.0
80dbeb1dd5b53e64,UFC Fight Night: Adesanya vs. Imavov,2025/02/01,"Riyadh, Riyadh, Saudi Arabia",426e7a3de68117b0,middleweight,0,Decision - Unanimous,3,300,3.0
80dbeb1dd5b53e64,UFC Fight Night: Adesanya vs. Imavov,2025/02/01,"Riyadh, Riyadh, Saudi Arabia",775788423f5eeb99,lightweight,0,Decision - Unanimous,3,300,3.0
80dbeb1dd5b53e64,UFC Fight Night: Adesanya vs. Imavov,2025/02/01,"Riyadh, Riyadh, Saudi Arabia",70b8dca3addcf4de,bantamweight,0,Decision - Unanimous,3,300,3.0
80dbeb1dd5b53e64,UFC Fight Night: Adesanya vs. Imavov,2025/02/01,"Riyadh, Riyadh, Saudi Arabia",e97e71a593e4c28d,lightweight,0,KO/TKO,1,121,3.0
80dbeb1dd5b53e64,UFC Fight Night: Adesanya vs. Imavov,2025/02/01,"Riyadh, Riyadh, Saudi Arabia",940f586104bf8bc8,featherweight,0,Decision - Unanimous,3,300,3.0
80dbeb1dd5b53e64,UFC Fight Night: Adesanya vs. Imavov,2025/02/01,"Riyadh, Riyadh, Saudi Arabia",43bbaf06603b0f0c,heavyweight,0,KO/TKO,1,192,3.0
ad23903ef3af7406,UFC 310: Pantoja vs. Asakura,2024/12/07,"Las Vegas, Nevada, USA",e761c5009c09b295,flyweight,1,Submission,2,125,5.0
80dbeb1dd5b53e64,UFC Fight Night: Adesanya vs. Imavov,2025/02/01,"Riyadh, Riyadh, Saudi Arabia",91bf33ada75d6061,women's flyweight,0,Decision - Unanimous,3,300,3.0
80dbeb1dd5b53e64,UFC Fight Night: Adesanya vs. Imavov,2025/02/01,"Riyadh, Riyadh, Saudi Arabia",750257171ad29a2c,featherweight,0,KO/TKO,2,262,3.0
80dbeb1dd5b53e64,UFC Fight Night: Adesanya vs. Imavov,2025/02/01,"Riyadh, Riyadh, Saudi Arabia",984ce1062186f3ce,heavyweight,0,Decision - Split,3,300,3.0
ad23903ef3af7406,UFC 310: Pantoja vs. Asakura,2024/12/07,"Las Vegas, Nevada, USA",f706508c52f337a6,heavyweight,0,Decision - Split,3,300,3.0
ad23903ef3af7406,UFC 310: Pantoja vs. Asakura,2024/12/07,"Las Vegas, Nevada, USA",089388c9f00ce9c6,featherweight,0,KO/TKO,3,201,3.0
ad23903ef3af7406,UFC 310: Pantoja vs. Asakura,2024/12/07,"Las Vegas, Nevada, USA",1569186ee820ea87,welterweight,0,Decision - Unanimous,5,300,5.0
ad23903ef3af7406,UFC 310: Pantoja vs. Asakura,2024/12/07,"Las Vegas, Nevada, USA",97caf8fca9d9603b,light heavyweight,0,KO/TKO,2,286,3.0
ad23903ef3af7406,UFC 310: Pantoja vs. Asakura,2024/12/07,"Las Vegas, Nevada, USA",4914f7bd073c6359,welterweight,0,Submission,1,52,3.0
ad23903ef3af7406,UFC 310: Pantoja vs. Asakura,2024/12/07,"Las Vegas, Nevada, USA",0292b9c31c0089ac,featherweight,0,KO/TKO,3,39,3.0
ad23903ef3af7406,UFC 310: Pantoja vs. Asakura,2024/12/07,"Las Vegas, Nevada, USA",0f16d83859d608c7,catch weight,0,KO/TKO,2,291,3.0
ad23903ef3af7406,UFC 310: Pantoja vs. Asakura,2024/12/07,"Las Vegas, Nevada, USA",df30514e0674d598,featherweight,0,Decision - Unanimous,3,300,3.0
ad23903ef3af7406,UFC 310: Pantoja vs. Asakura,2024/12/07,"Las Vegas, Nevada, USA",d38029cf47e54cf7,flyweight,0,Decision - Unanimous,3,300,3.0
ad23903ef3af7406,UFC 310: Pantoja vs. Asakura,2024/12/07,"Las Vegas, Nevada, USA",7c0d0a28a8fba102,welterweight,0,Decision - Split,3,300,3.0
ad23903ef3af7406,UFC 310: Pantoja vs. Asakura,2024/12/07,"Las Vegas, Nevada, USA",eb94412f15c62650,heavyweight,0,KO/TKO,1,291,3.0
ad23903ef3af7406,UFC 310: Pantoja vs. Asakura,2024/12/07,"Las Vegas, Nevada, USA",72b12a837290b327,lightweight,0,Submission,1,221,3.0
